2021-05-20 19:29:25.627 [main] INFO  Main - Program started!
2021-05-20 19:29:25.682 [main] INFO  Logic.DataBase - Information loaded!
2021-05-20 19:29:41.292 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:29:41.292 [main] INFO  Logic.Pages.MainPage - moji59 logged into account!
2021-05-20 19:30:42.807 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:30:45.849 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:31:31.280 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:31:31.284 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:31:55.498 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:31:55.504 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:31:58.517 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:32:17.695 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:32:25.753 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:32:25.753 [main] INFO  Logic.Pages.MainPage - moji59 logged into account!
2021-05-20 19:32:40.889 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:32:40.890 [main] INFO  Logic.Pages.MainPage - moji59 logged into account!
2021-05-20 19:32:48.962 [main] INFO  Logic.DataBase - moji59 logged out of the account!
2021-05-20 19:32:48.986 [main] INFO  Logic.DataBase - Information loaded!
2021-05-20 19:32:55.027 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:32:55.027 [main] INFO  Logic.Pages.MainPage - reza logged into account!
2021-05-20 19:34:10.714 [main] INFO  Logic.DataBase - Changes saved!
2021-05-20 19:34:10.714 [main] INFO  Logic.Pages.MainPage - reza logged into account!
